Time_s,X_Position,Y_Position,Distance_from_Center
0.0,3.5378430243721475,1.8378277362713415,3.98672096506727
0.1,3.9160924369181984,1.7161534367967608,4.275624234321492
0.2,3.6895751050591628,2.0609749520178458,4.226178203615802
0.30000000000000004,3.630285866531672,1.7292337912676121,4.021097484220119
0.4,3.936852589742209,1.873198189633527,4.359779784691683
0.5,3.6240378760619265,1.9712212602204247,4.125453161032911
0.6000000000000001,3.6987641523488506,1.67573952749526,4.060659948667328
0.7000000000000001,3.908236815762997,1.9947762000377107,4.387875009195474
0.8,3.541248394796927,1.8943182915202268,4.016077935404133
0.9,3.886551223961426,1.676996153055267,4.232918203064905
1.0,3.7372218385004388,2.064246566109322,4.269419276184845
1.1,3.590498716107092,1.7501221183553284,3.9943220275189653
1.2000000000000002,3.939141176871317,1.8470162311849823,4.350666864928171
1.3,3.6553091284512362,1.988921965684666,4.161381430501401
1.4000000000000001,3.6661682332293495,1.6847833133148225,4.034759512928135
1.5,3.9191498770775652,1.9524378819374562,4.378555634204219
1.6,3.5569319737967007,1.9464663455064741,4.0546881878150165
1.7000000000000002,3.8469624443424166,1.6496730655003091,4.18575456413992
1.8,3.7890987971167966,2.0553629038339416,4.310659620147321
1.9000000000000001,3.554496560909822,1.7784478497980487,3.9745845765275964
2.0,3.934923851456478,1.8175226062505043,4.334398936530036
2.1,3.687287474048393,2.005407988019698,4.197350368349942
2.2,3.639870757610854,1.698203506619004,4.016535109021667
2.3000000000000003,3.920287171705823,1.909524036066884,4.3606116030848705
2.4000000000000004,3.5824015820559154,1.9903321039253719,4.098173127020468
2.5,3.800765749620144,1.6368124695262782,4.138233360249551
2.6,3.8409485554224716,2.0337071131593056,4.346130512020633
2.7,3.5262764421185047,1.8141372179099182,3.965566717588531
2.8000000000000003,3.922406256368962,1.784803314389661,4.3093843772699945
2.9000000000000004,3.7205010199335575,2.0206395655579055,4.233805863903621
3.0,3.618727115842024,1.7147621778006954,4.004446936262998
3.1,3.9139965061116833,1.868584689058407,4.337162366114274
3.2,3.614238033220051,2.02338915936536,4.142079218340905
3.3000000000000003,3.7520808279196984,1.6392489220694468,4.094538749083761
3.4000000000000004,3.8880698310959225,2.000335560350857,4.37246262024988
3.5,3.5096831909344495,1.8557830920416052,3.9701142282603556
3.6,3.900001744376649,1.7503306701795882,4.274771463027261
3.7,3.7556552634599,2.0334457571620703,4.270813517969905
3.8000000000000003,3.601317520241775,1.7341927272389128,3.997112995251536
3.9000000000000004,3.902916893045319,1.830933175440956,4.311041239300412
