Time_s,X_Position,Y_Position,Distance_from_Center
0.0,3.6151888779274737,2.0067920842680036,4.134828302671251
0.1,3.623686790629308,1.9914476051342307,4.134848185916407
0.2,3.6446123658416987,1.9783546854180645,4.146937009234868
0.30000000000000004,3.6769440672496145,1.9693044768566588,4.171100310020105
0.4,3.7191202274413664,1.9658139836888968,4.206694650747821
0.5,3.7691301999005997,1.9689973933402833,4.252445555063999
0.6000000000000001,3.8246156972591843,1.979451279371712,4.306496557426659
0.7000000000000001,3.882987152791932,1.997191829202702,4.3665048301108325
0.8,3.941575580819528,2.0216629308719694,4.429801244454952
0.9,3.9978361105102858,2.0518011928688247,4.493615660195912
1.0,4.049585406615012,2.086126209493495,4.555333635136396
1.1,4.095209471540845,2.1228341321617736,4.612717785478414
1.2000000000000002,4.133764869392651,2.159897746726929,4.664029402967022
1.3,4.164941973477292,2.1951949541384455,4.708038076429269
1.4000000000000001,4.188930168425743,2.2266829686443983,4.743970172629498
1.5,4.206259597273485,2.2526037811405857,4.771461368853799
1.6,4.217672495791954,2.2716658470402247,4.790535147806445
1.7000000000000002,4.224034322016787,2.2831356327581,4.801580393073258
1.8,4.226269678481336,2.2868128040826114,4.8052958489740165
1.9000000000000001,4.225308300351158,2.2829251015433867,4.802601092353317
2.0,4.222036124184446,2.27200855565423,4.79453980178332
2.1,4.217250153641109,2.2548175838900733,4.782196273157954
2.2,4.2116146674316814,2.2322675168816937,4.766625260480504
2.3000000000000003,4.205619745621409,2.205385131581067,4.7487852155429735
2.4000000000000004,4.1995488721761935,2.1752434987173355,4.729470901539449
2.5,4.19346160051386,2.1428782272878637,4.709251245364665
2.6,4.187194384595247,2.109205825794636,4.688426818235729
2.7,4.180388322263811,2.074972974687429,4.66702896611997
2.8000000000000003,4.172562136701775,2.040750141627067,4.644882767647444
2.9000000000000004,4.163243133609649,2.006956335432531,4.62173853889212
3.0,4.1521360442257045,1.973887486605224,4.597441194788137
3.1,4.139266505397082,1.941731446111254,4.572072638478032
3.2,4.125025524119705,1.910578417219078,4.546003240538044
3.3000000000000003,4.110088826221373,1.8804554833403015,4.519838822818175
3.4000000000000004,4.095256419811547,1.8514095275822116,4.4943122257838155
3.5,4.081290921086064,1.8236296351878818,4.470185748811231
3.6,4.0688090825437335,1.797557190578884,4.448192801980624
3.7,4.058234599041005,1.7739186227778085,4.42900161899851
3.8000000000000003,4.049791356471916,1.7536547512440932,4.413175162795561
3.9000000000000004,4.0435146007484954,1.7377822834284395,4.401124582542969
4.0,4.039268666794407,1.7272523422877577,4.393073185878607
4.1000000000000005,4.036767274640005,1.7228500532641338,4.38904344198559
4.2,4.035593084767845,1.72513777568347,4.388862254721166
4.3,4.035214578066607,1.7344180358512578,4.39217060394145
4.4,4.035001726921482,1.750693676953917,4.3984278198903946
4.5,4.034242756341813,1.7736249009758778,4.406910471799725
4.6000000000000005,4.032165677613658,1.8025065860833664,4.416717111679162
4.7,4.027976637406788,1.8362928380600647,4.426801009601129
4.800000000000001,4.020936591930579,1.8736727281378207,4.436054617392997
4.9,4.0104909105766104,1.9131710661277292,4.443451459404718
5.0,3.9964324107192892,1.9532385172658189,4.448214554040572
5.1000000000000005,3.9790339212465264,1.9923140255785525,4.4499467550688205
5.2,3.959075183593452,2.02887310256335,4.448662987421115
5.300000000000001,3.9377371045750396,2.061495349367692,4.444720078948914
5.4,3.9164100728996667,2.088977698651068,4.438704279919027
5.5,3.896498175986957,2.1104836540417358,4.431347344707594
5.6000000000000005,3.8792768554200974,2.125673402397017,4.423491419077938
5.7,3.865813328224122,2.1347456079389495,4.416067424676609
5.800000000000001,3.8569283623726447,2.138362719686334,4.410044389053115
5.9,3.853175928012094,2.1374971261907794,4.40634300715295
6.0,3.854830234279701,2.133267738725873,4.405740276072286
6.1000000000000005,3.861880249195271,2.1268158369682726,4.4087940146375155
6.2,3.874033901119632,2.1192255763133225,4.415796158149143
6.300000000000001,3.8907324906100964,2.1114655612216966,4.426746675574998
6.4,3.9111740380889755,2.104327064933557,4.441337045579079
6.5,3.9343427268506126,2.0983548172328472,4.458939967226136
6.6000000000000005,3.959044610331853,2.093790284970412,4.478614962690382
6.7,3.9839610081177357,2.090555445910774,4.4991518519193905
6.800000000000001,4.007742367884326,2.0882889144913688,4.519175752028527
6.9,4.02915902076484,2.0864190082986016,4.537319328943071
7.0,4.047290691875519,2.084243969399185,4.552431753307136
7.1000000000000005,4.061690924940647,2.0809996574010206,4.563758620243667
7.2,4.072449295456848,2.0759196302595275,4.571026752860218
7.300000000000001,4.080120099820114,2.068311261574847,4.5744170670931865
7.4,4.085557951279826,2.0576675265434687,4.574470398096082
7.5,4.089735705747163,2.043803285364313,4.571987534117871
7.6000000000000005,4.0935984637569796,2.026965745018779,4.5679468597996005
7.7,4.097964084817328,2.0078587073860357,4.563420452826875
7.800000000000001,4.103455334768187,1.9875599911066208,4.559467118280955
7.9,4.110450160552591,1.967371093892742,4.557011031747844
8.0,4.11904859740105,1.948664208513165,4.556737159996371
8.1,4.129059880920151,1.9327678471884888,4.559026985152639
8.200000000000001,4.140009544005798,1.9208892317922652,4.563934099576217
8.3,4.151163415403589,1.914045376156691,4.57118446394061
8.4,4.161566414934873,1.9129785656721574,4.580187989442681
8.5,4.1700937576802755,1.9180579424626956,4.590057539779673
8.6,4.175512967065981,1.9291971208703265,4.599642384937172
8.700000000000001,4.176563800699015,1.9458252078895262,4.60759383203074
8.8,4.1720743106968365,1.9669267532841905,4.612483594199721
8.9,4.161126494377735,1.9911327208483156,4.612979862761722
